"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"72",13,13,"🇺🇸","Knierim / Frazier",41.02,33.98,75,2.57,8.47,2022,"OLYT","SP"
"73",14,14,"🇺🇸","Knierim / Frazier",40.64,33.59,74.23,2.47,8.38,2022,"OLY","SP"
"74",15,15,"🇺🇸","Knierim / Frazier",36.58,33.57,70.15,1.95,8.39,2022,"GPFRA","SP"
"75",16,16,"🇺🇸","Knierim / Frazier",37.77,32.06,69.83,2.15,8,2022,"CRNCUP","SP"
"76",17,17,"🇺🇸","Knierim / Frazier",34.76,31.68,66.44,1.36,7.9,2022,"GLDSPN","SP"
"77",18,18,"🇺🇸","Knierim / Frazier",34.74,32.63,66.37,1.38,8.15,2022,"GPUSA","SP"
"78",19,19,"🇺🇸","Knierim / Frazier",34.72,31.96,65.68,1.45,8.01,2021,"WTT","SP"
"79",20,20,"🇺🇸","Knierim / Frazier",33.45,31.22,64.67,1.79,7.73,2021,"WC","SP"
"80",1,1,"🇷🇺","Tarasova / Morozov",78.01,76.99,155,3.5,9.62,2022,"OLY","FS"
"81",2,2,"🇷🇺","Tarasova / Morozov",78.74,76.11,154.85,3.36,9.51,2022,"EC","FS"
"82",3,3,"🇷🇺","Tarasova / Morozov",77.92,73.74,151.66,3.44,9.18,2022,"CRNCUP","FS"
"83",4,4,"🇷🇺","Tarasova / Morozov",74.73,74,148.73,2.74,9.26,2022,"WARCUP","FS"
"84",5,5,"🇷🇺","Tarasova / Morozov",73.84,73.42,147.26,3.06,9.18,2019,"WC","FS"
"85",6,6,"🇷🇺","Tarasova / Morozov",71.68,73.24,144.92,3.2,9.16,2019,"EC","FS"
"86",7,7,"🇷🇺","Tarasova / Morozov",69.11,73.03,142.14,2.68,9.12,2022,"GPUSA","FS"
"87",8,8,"🇷🇺","Tarasova / Morozov",70.4,71.38,141.78,2.44,8.91,2019,"GPRUS","FS"
"88",9,9,"🇷🇺","Tarasova / Morozov",69.18,72.12,141.3,2.53,9.03,2021,"WC","FS"
"89",10,10,"🇷🇺","Tarasova / Morozov",69.72,70.44,140.16,2.31,8.82,2019,"GPF","FS"
