"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"84",35,35,"🇷🇺","Alexandra Trusova",44.06,30.68,74.74,3.94,7.67,2019,"JGPLTU","SP"
"85",36,36,"🇷🇺","Alexandra Trusova",40.12,35.48,74.6,1.84,8.86,2022,"OLY","SP"
"86",37,37,"🇷🇺","Alexandra Trusova",42.37,32.16,74.53,3.35,8.01,2019,"RUSCUP4","SP"
"87",38,37,"🇷🇺","Alexandra Trusova",40.37,35.16,74.53,1.81,8.8,2022,"RUSCUP1","SP"
"88",39,39,"🇷🇺","Alexandra Trusova",42.88,31.55,74.43,3.11,7.92,2019,"JGPF","SP"
"89",40,40,"🇷🇺","Alexandra Trusova",40.96,33.44,74.4,3.24,8.4,2020,"GPCAN","SP"
"90",41,41,"🇷🇺","Alexandra Trusova",40.29,33.92,74.21,2.82,8.45,2020,"GPRUS","SP"
"91",42,41,"🇷🇺","Alexandra Trusova",39.61,35.6,74.21,1.71,8.91,2022,"NATRUS","SP"
"92",43,43,"🇷🇺","Alexandra Trusova",44.18,30.01,74.19,3.59,7.47,2019,"JGPARM","SP"
"93",44,44,"🇷🇺","Alexandra Trusova",41.15,31.34,72.49,3.16,7.81,2019,"WJC","SP"
"94",45,45,"🇷🇺","Alexandra Trusova",39.65,32.8,71.45,1.92,8.18,2020,"GPF","SP"
"95",46,46,"🇷🇺","Alexandra Trusova",36.69,35.12,70.81,1.62,8.76,2021,"GPRUS","SP"
"96",47,47,"🇷🇺","Alexandra Trusova",36.55,34,69.55,2.29,8.48,2019,"NATRUS","SP"
"97",48,48,"🇷🇺","Alexandra Trusova",30.34,34.48,64.82,1.82,8.63,2021,"WC","SP"
"98",1,1,"🇷🇺","Anna Shcherbakova",106.7,77.09,183.79,3.57,9.61,2021,"NATRUS","FS"
"99",2,2,"🇷🇺","Anna Shcherbakova",108.22,73.72,181.94,3.13,9.19,2020,"NATRUS","FS"
"100",3,3,"🇷🇺","Anna Shcherbakova",100.49,75.26,175.75,3.24,9.39,2022,"OLY","FS"
"101",4,4,"🇷🇺","Anna Shcherbakova",94.1,74.27,168.37,3.56,9.28,2022,"EC","FS"
"102",5,5,"🇷🇺","Anna Shcherbakova",92.26,72.79,165.05,3.22,9.1,2022,"GPITA","FS"
"103",6,6,"🇷🇺","Anna Shcherbakova",90.03,74.24,164.27,2.48,9.25,2021,"RUSCUP1","FS"
"104",7,7,"🇷🇺","Anna Shcherbakova",94.52,69.13,162.65,2.1,8.63,2020,"GPF","FS"
"105",8,8,"🇷🇺","Anna Shcherbakova",87.96,74.48,162.44,3.11,9.3,2021,"RUSCUP3","FS"
"106",9,9,"🇷🇺","Anna Shcherbakova",86.26,74.32,160.58,2.77,9.26,2021,"WTT","FS"
"107",10,10,"🇷🇺","Anna Shcherbakova",92.2,67.96,160.16,2.58,8.47,2020,"GPUSA","FS"
"108",11,11,"🇷🇺","Anna Shcherbakova",89.62,71.19,159.81,2.12,8.89,2020,"EC","FS"
"109",12,12,"🇷🇺","Anna Shcherbakova",95.51,63.92,159.43,2.58,8.06,2019,"RUSCUP2","FS"
"110",13,13,"🇷🇺","Anna Shcherbakova",82.51,76.59,158.1,2.57,9.57,2022,"NATRUS","FS"
"111",14,14,"🇷🇺","Anna Shcherbakova",89.35,66.34,155.69,2.92,8.28,2019,"NATRUS","FS"
"112",15,15,"🇷🇺","Anna Shcherbakova",84.71,67.82,152.53,1.89,8.48,2020,"GPCHN","FS"
"113",16,16,"🇷🇺","Anna Shcherbakova",80.32,72.85,152.17,2.27,9.09,2021,"WC","FS"
"114",17,17,"🇷🇺","Anna Shcherbakova",80.86,71.89,151.75,2.12,8.97,2022,"GPFRA","FS"
"115",18,18,"🇷🇺","Anna Shcherbakova",87.82,64,150.82,2.6,7.99,2019,"RUSCUP4","FS"
"116",19,19,"🇷🇺","Anna Shcherbakova",86.15,64.32,150.47,2.35,8.06,2020,"LOMTRO","FS"
"117",20,20,"🇷🇺","Anna Shcherbakova",76.17,72.8,147.97,1.61,9.06,2022,"BUDTRO","FS"
"118",21,21,"🇷🇺","Anna Shcherbakova",80.79,66.29,147.08,2.69,8.28,2019,"WJC","FS"
"119",22,22,"🇷🇺","Anna Shcherbakova",78.16,69.64,146.8,2.75,8.69,2019,"NATRUS","FS"
"120",23,23,"🇷🇺","Anna Shcherbakova",73.25,58.96,132.21,2.95,7.38,2019,"JGPSVK","FS"
"121",24,24,"🇷🇺","Anna Shcherbakova",71.87,59.62,130.49,1.83,7.43,2019,"JGPCAN","FS"
"122",25,25,"🇷🇺","Anna Shcherbakova",68.66,62.56,130.22,1.65,7.82,2019,"EYOFST","FS"
"123",26,26,"🇷🇺","Anna Shcherbakova",67.03,60.54,125.57,1.35,7.57,2019,"JGPF","FS"
"124",27,27,"🇷🇺","Anna Shcherbakova",44.93,37.2,82.13,3.73,9.31,2021,"RUSCUP1","SP"
"125",28,28,"🇷🇺","Anna Shcherbakova",43.62,37.84,81.46,3.6,9.46,2022,"NATRUS","SP"
"126",29,29,"🇷🇺","Anna Shcherbakova",43.51,37.56,81.07,3.65,9.34,2021,"WTT","SP"
"127",30,30,"🇷🇺","Anna Shcherbakova",43.86,37.14,81,3.95,9.29,2021,"WC","SP"
"128",31,31,"🇷🇺","Anna Shcherbakova",42.51,37.8,80.31,3.44,9.45,2021,"NATRUS","SP"
"129",32,32,"🇷🇺","Anna Shcherbakova",42.87,37.33,80.2,3.54,9.31,2022,"OLY","SP"
"130",33,33,"🇷🇺","Anna Shcherbakova",43.86,36.07,79.93,3.67,9.02,2020,"NATRUS","SP"
"131",34,34,"🇷🇺","Anna Shcherbakova",43.72,34.55,78.27,3.65,8.62,2020,"GPF","SP"
"132",35,35,"🇷🇺","Anna Shcherbakova",42.78,35.17,77.95,3.33,8.76,2020,"EC","SP"
"133",36,36,"🇷🇺","Anna Shcherbakova",41.6,36.34,77.94,3.1,9.06,2022,"GPFRA","SP"
"134",37,37,"🇷🇺","Anna Shcherbakova",40.03,37.44,77.47,3.23,9.33,2021,"RUSCUP3","SP"
"135",38,38,"🇷🇺","Anna Shcherbakova",42.52,34.65,77.17,3.71,8.65,2019,"NATRUS","SP"
"136",39,39,"🇷🇺","Anna Shcherbakova",39.12,35.64,74.76,2.65,8.79,2022,"BUDTRO","SP"
"137",40,40,"🇷🇺","Anna Shcherbakova",42.28,31.81,74.09,3.4,7.97,2019,"NATRUS","SP"
"138",41,41,"🇷🇺","Anna Shcherbakova",40.08,33.43,73.51,2.89,8.33,2020,"GPCHN","SP"
"139",42,42,"🇷🇺","Anna Shcherbakova",43.4,29.78,73.18,3.79,7.47,2019,"JGPSVK","SP"
"140",43,43,"🇷🇺","Anna Shcherbakova",41.53,31.33,72.86,3.4,7.83,2019,"WJC","SP"
"141",44,44,"🇷🇺","Anna Shcherbakova",41.37,31.2,72.57,2.96,7.8,2019,"EYOFST","SP"
"142",45,45,"🇷🇺","Anna Shcherbakova",36.91,34.82,71.73,2.97,8.74,2022,"GPITA","SP"
"143",46,46,"🇷🇺","Anna Shcherbakova",33.79,36.26,69.05,2.51,8.99,2022,"EC","SP"
"144",47,47,"🇷🇺","Anna Shcherbakova",37.08,31.76,67.84,2.45,7.99,2019,"RUSCUP2","SP"
"145",48,48,"🇷🇺","Anna Shcherbakova",37.09,30.64,67.73,2.17,7.74,2020,"LOMTRO","SP"
"146",49,49,"🇷🇺","Anna Shcherbakova",36.91,31.69,67.6,1.89,7.91,2020,"GPUSA","SP"
"147",50,50,"🇷🇺","Anna Shcherbakova",36.32,31.56,66.88,2.24,7.89,2019,"RUSCUP4","SP"
"148",1,1,"🇧🇪","Loena Hendrickx",76.49,73.06,149.55,2.78,9.15,2022,"NATBEL","FS"
"149",2,2,"🇧🇪","Loena Hendrickx",74.91,70.62,145.53,2.9,8.86,2022,"GPITA","FS"
"150",3,3,"🇧🇪","Loena Hendrickx",73.91,69.34,143.25,2.8,8.66,2022,"FINTRO","FS"
"151",4,4,"🇧🇪","Loena Hendrickx",70.66,72.04,142.7,2.63,8.99,2022,"WC","FS"
"152",5,5,"🇧🇪","Loena Hendrickx",74.53,66.63,141.16,2.73,8.35,2021,"WC","FS"
"153",6,6,"🇧🇪","Loena Hendrickx",70.22,69.03,139.25,2.03,8.62,2022,"GPRUS","FS"
"154",7,7,"🇧🇪","Loena Hendrickx",66.19,70.51,136.7,2.48,8.84,2022,"OLY","FS"
"155",8,8,"🇧🇪","Loena Hendrickx",70.64,64.27,134.91,2.09,8.04,2021,"CHACUP","FS"
"156",9,9,"🇧🇪","Loena Hendrickx",69.26,64.4,132.66,2.18,8.05,2019,"NEBTRO","FS"
"157",10,10,"🇧🇪","Loena Hendrickx",64.28,69.44,131.72,1.67,8.66,2022,"EC","FS"
"158",11,11,"🇧🇪","Loena Hendrickx",64.45,63.6,128.05,1.9,7.94,2019,"GPFIN","FS"
"159",12,12,"🇧🇪","Loena Hendrickx",61.33,65.36,126.69,2.51,8.17,2021,"BUDTRO","FS"
"160",13,13,"🇧🇪","Loena Hendrickx",66.07,58.62,123.69,1.42,7.32,2019,"WC","FS"
"161",14,14,"🇧🇪","Loena Hendrickx",59.81,62.67,122.48,2.56,7.85,2019,"NATBEL","FS"
"162",15,15,"🇧🇪","Loena Hendrickx",41.65,34.6,76.25,3.32,8.66,2022,"EC","SP"
"163",16,16,"🇧🇪","Loena Hendrickx",40.52,34.48,75,3.13,8.62,2022,"WC","SP"
"164",17,17,"🇧🇪","Loena Hendrickx",40.35,33.17,73.52,2.84,8.31,2022,"GPITA","SP"
"165",18,18,"🇧🇪","Loena Hendrickx",39.7,32.48,72.18,2.84,8.11,2021,"BUDTRO","SP"
"166",19,19,"🇧🇪","Loena Hendrickx",39.94,31.56,71.5,3.15,7.88,2019,"NEBTRO","SP"
"167",20,20,"🇧🇪","Loena Hendrickx",37.29,35.2,71.49,2.37,8.7,2022,"NATBEL","SP"
"168",21,21,"🇧🇪","Loena Hendrickx",36.09,34,70.09,2.04,8.49,2022,"OLY","SP"
"169",22,22,"🇧🇪","Loena Hendrickx",38.49,31.28,69.77,2.26,7.82,2021,"CHACUP","SP"
"170",23,23,"🇧🇪","Loena Hendrickx",35.39,33.43,68.82,2.04,8.36,2022,"FINTRO","SP"
"171",24,24,"🇧🇪","Loena Hendrickx",36.62,31.66,67.28,2.05,7.92,2021,"WC","SP"
"172",25,25,"🇧🇪","Loena Hendrickx",31.02,33.42,64.44,2.43,8.34,2022,"GPRUS","SP"
"173",26,26,"🇧🇪","Loena Hendrickx",32.14,31.03,63.17,1.21,7.76,2019,"GPFIN","SP"
"174",27,27,"🇧🇪","Loena Hendrickx",34.01,29.59,62.6,1.59,7.38,2019,"WC","SP"
"175",28,28,"🇧🇪","Loena Hendrickx",32.88,29.6,61.48,2.17,7.29,2019,"NATBEL","SP"
"176",29,29,"🇧🇪","Loena Hendrickx",24.35,29.78,54.13,0.47,7.45,2019,"GPUSA","SP"
"177",1,1,"🇷🇺","Elizaveta Tuktamysheva",82.15,71.74,153.89,2.84,8.93,2019,"WTT","FS"
"178",2,2,"🇷🇺","Elizaveta Tuktamysheva",79.26,73.86,153.12,2.7,9.23,2022,"NATRUS","FS"
"179",3,3,"🇷🇺","Elizaveta Tuktamysheva",78.55,73.22,151.77,2.48,9.11,2022,"FINTRO","FS"
"180",4,4,"🇷🇺","Elizaveta Tuktamysheva",80.33,71.31,151.64,2.32,8.94,2022,"GPCAN","FS"
