"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"77",11,11,"🇺🇸","Hubbell / Donohue",67.12,55.99,123.11,3.24,9.3,2022,"GPITA","FD"
"78",12,12,"🇺🇸","Hubbell / Donohue",67.12,55.98,123.1,3.2,9.32,2020,"GPCAN","FD"
"79",13,13,"🇺🇸","Hubbell / Donohue",66.53,56.24,122.77,3.33,9.34,2020,"4CC","FD"
"80",14,14,"🇺🇸","Hubbell / Donohue",66.79,55.6,122.39,3.67,9.26,2019,"GPUSA","FD"
"81",15,15,"🇺🇸","Hubbell / Donohue",66.02,55.25,120.27,3.33,9.17,2019,"GPCAN","FD"
"82",16,16,"🇺🇸","Hubbell / Donohue",62.5,57.21,119.71,3.78,9.47,2019,"4CC","FD"
"83",17,17,"🇺🇸","Hubbell / Donohue",65.15,53.16,118.31,3.35,8.85,2019,"USCLA","FD"
"84",18,18,"🇺🇸","Hubbell / Donohue",50.95,38.77,89.72,4.02,9.67,2022,"WC","RD"
"85",19,19,"🇺🇸","Hubbell / Donohue",48.82,38.31,87.13,3.82,9.58,2022,"OLY","RD"
"86",20,20,"🇺🇸","Hubbell / Donohue",48.5,38.06,86.56,3.69,9.51,2022,"OLYT","RD"
"87",21,21,"🇺🇸","Hubbell / Donohue",48.34,37.71,86.05,3.58,9.43,2021,"WC","RD"
"88",22,22,"🇺🇸","Hubbell / Donohue",48.47,37.48,85.95,3.49,9.37,2020,"4CC","RD"
"89",23,23,"🇺🇸","Hubbell / Donohue",47.78,37.19,84.97,3.29,9.28,2020,"GPUSA","RD"
"90",24,24,"🇺🇸","Hubbell / Donohue",47.13,37.66,84.79,3.58,9.39,2022,"GPITA","RD"
"91",25,25,"🇺🇸","Hubbell / Donohue",46.8,37.26,84.06,3.32,8.99,2022,"USCLA","RD"
"92",26,26,"🇺🇸","Hubbell / Donohue",45.52,38.06,83.58,3.4,9.5,2022,"GPUSA","RD"
"93",27,27,"🇺🇸","Hubbell / Donohue",46.11,37.1,83.21,3.11,9.26,2020,"GPCAN","RD"
"94",28,28,"🇺🇸","Hubbell / Donohue",45.55,37.54,83.09,3.47,9.39,2019,"WC","RD"
"95",29,29,"🇺🇸","Hubbell / Donohue",45.32,37.54,82.86,3.78,9.32,2019,"WTT","RD"
"96",30,30,"🇺🇸","Hubbell / Donohue",45.12,37.6,82.72,3.18,9.39,2020,"GPF","RD"
"97",31,31,"🇺🇸","Hubbell / Donohue",44.36,37.59,81.95,3.71,9.33,2019,"4CC","RD"
"98",32,32,"🇺🇸","Hubbell / Donohue",43.16,37.37,80.53,3.6,9.36,2019,"GPF","RD"
"99",33,33,"🇺🇸","Hubbell / Donohue",43.24,37.25,80.49,3.49,9.28,2019,"GPCAN","RD"
"100",34,34,"🇺🇸","Hubbell / Donohue",43.55,35.56,79.11,3.51,8.88,2019,"USCLA","RD"
"101",35,35,"🇺🇸","Hubbell / Donohue",44.2,36.23,78.43,3.56,9.05,2019,"GPUSA","RD"
"102",1,1,"🇨🇦","Gilles / Poirier",73.54,57.44,130.98,4.05,9.56,2021,"WC","FD"
"103",2,2,"🇨🇦","Gilles / Poirier",70.21,56.22,126.43,3.57,9.38,2020,"GPCAN","FD"
"104",3,3,"🇨🇦","Gilles / Poirier",70.42,55.84,126.26,3.52,9.29,2020,"4CC","FD"
"105",4,4,"🇨🇦","Gilles / Poirier",69.43,56.19,125.62,3.65,9.38,2022,"ATMCLA","FD"
"106",5,5,"🇨🇦","Gilles / Poirier",68.86,56.46,125.32,3.7,9.4,2022,"GPCAN","FD"
"107",6,6,"🇨🇦","Gilles / Poirier",69.08,56,125.08,3.44,9.33,2020,"GPRUS","FD"
"108",7,7,"🇨🇦","Gilles / Poirier",68.75,56.65,124.4,3.83,9.4,2019,"4CC","FD"
"109",8,8,"🇨🇦","Gilles / Poirier",68.73,55.66,124.39,3.51,9.28,2022,"OLYT","FD"
"110",9,9,"🇨🇦","Gilles / Poirier",68.83,55.14,123.97,3.36,9.21,2020,"GPF","FD"
"111",10,10,"🇨🇦","Gilles / Poirier",68.64,54.24,122.88,3.47,9.02,2020,"ATMCLA","FD"
"112",11,11,"🇨🇦","Gilles / Poirier",67.36,54.55,121.91,3.3,9.1,2022,"WC","FD"
"113",12,12,"🇨🇦","Gilles / Poirier",66.49,55.32,121.81,3.23,9.22,2022,"GPFRA","FD"
"114",13,13,"🇨🇦","Gilles / Poirier",65.97,55.5,121.47,3.41,9.25,2019,"GLDSPN","FD"
"115",14,14,"🇨🇦","Gilles / Poirier",66.19,55.07,121.26,3.25,9.19,2022,"OLY","FD"
"116",15,15,"🇨🇦","Gilles / Poirier",65.91,54.57,120.48,3.53,9.09,2019,"WC","FD"
"117",16,16,"🇨🇦","Gilles / Poirier",66.66,53.36,120.02,3.56,8.89,2019,"GPCAN","FD"
"118",17,17,"🇨🇦","Gilles / Poirier",64.3,53.42,116.72,3.15,8.9,2019,"NEBTRO","FD"
"119",18,18,"🇨🇦","Gilles / Poirier",60.75,53.74,114.49,2.94,8.96,2019,"GPFRA","FD"
"120",19,19,"🇨🇦","Gilles / Poirier",48.08,37.57,85.65,3.65,9.38,2022,"GPCAN","RD"
"121",20,20,"🇨🇦","Gilles / Poirier",46.83,37.09,83.92,3.47,9.26,2020,"4CC","RD"
"122",21,21,"🇨🇦","Gilles / Poirier",46.17,37.35,83.52,3.38,9.33,2022,"OLY","RD"
"123",22,22,"🇨🇦","Gilles / Poirier",45.88,37.49,83.37,3.22,9.36,2021,"WC","RD"
"124",23,23,"🇨🇦","Gilles / Poirier",46.55,36.8,83.35,3.2,9.22,2022,"ATMCLA","RD"
"125",24,24,"🇨🇦","Gilles / Poirier",45.47,37.25,82.72,3.42,9.32,2022,"OLYT","RD"
"126",25,25,"🇨🇦","Gilles / Poirier",45.55,37.03,82.58,3.13,9.25,2020,"GPCAN","RD"
"127",26,26,"🇨🇦","Gilles / Poirier",45.47,37.09,82.56,3.11,9.26,2020,"GPRUS","RD"
"128",27,27,"🇨🇦","Gilles / Poirier",44.32,37.03,81.35,2.89,9.24,2022,"GPFRA","RD"
"129",28,28,"🇨🇦","Gilles / Poirier",44.7,36.09,80.79,3.07,9.02,2022,"WC","RD"
"130",29,29,"🇨🇦","Gilles / Poirier",44.08,36.36,80.44,3.24,9.08,2019,"WC","RD"
"131",30,30,"🇨🇦","Gilles / Poirier",43.56,36.24,79.8,3.26,9.06,2019,"GLDSPN","RD"
"132",31,31,"🇨🇦","Gilles / Poirier",44.17,35.44,79.61,2.91,8.85,2020,"ATMCLA","RD"
"133",32,32,"🇨🇦","Gilles / Poirier",42.93,36.6,79.53,2.76,9.16,2020,"GPF","RD"
"134",33,33,"🇨🇦","Gilles / Poirier",42.36,35.69,78.05,3.09,8.92,2019,"4CC","RD"
"135",34,34,"🇨🇦","Gilles / Poirier",42.3,35.1,77.4,3.1,8.77,2019,"NEBTRO","RD"
"136",35,35,"🇨🇦","Gilles / Poirier",38.76,35.49,74.25,2.87,8.88,2019,"GPFRA","RD"
"137",36,36,"🇨🇦","Gilles / Poirier",33.47,34.48,66.95,1.91,8.62,2019,"GPCAN","RD"
"138",1,1,"🇺🇸","Chock / Bates",72.59,58.04,130.63,3.86,9.66,2022,"OLY","FD"
"139",2,2,"🇺🇸","Chock / Bates",71.89,57.43,129.32,3.95,9.56,2022,"WC","FD"
"140",3,3,"🇺🇸","Chock / Bates",71.81,57.26,129.07,3.95,9.55,2022,"OLYT","FD"
"141",4,4,"🇺🇸","Chock / Bates",72.29,56.72,129.01,3.86,9.47,2020,"GPF","FD"
"142",5,5,"🇺🇸","Chock / Bates",71.71,56.5,128.21,3.8,9.41,2020,"GPCHN","FD"
"143",6,6,"🇺🇸","Chock / Bates",70.58,56.96,127.54,3.63,9.48,2021,"WC","FD"
"144",7,7,"🇺🇸","Chock / Bates",72.17,56.25,127.42,3.73,9.35,2020,"4CC","FD"
"145",8,8,"🇺🇸","Chock / Bates",69.95,56.3,126.25,3.9,9.35,2019,"4CC","FD"
"146",9,9,"🇺🇸","Chock / Bates",68.93,56.75,125.68,3.53,9.46,2022,"GPUSA","FD"
"147",10,10,"🇺🇸","Chock / Bates",70.08,55.68,124.76,3.56,9.29,2022,"GPJPN","FD"
"148",11,11,"🇺🇸","Chock / Bates",69.19,56.4,124.59,3.5,9.39,2022,"FINTRO","FD"
"149",12,12,"🇺🇸","Chock / Bates",69.1,55.05,124.15,3.53,9.19,2020,"GPFRA","FD"
"150",13,13,"🇺🇸","Chock / Bates",67.8,54.8,122.6,3.54,9.12,2019,"WC","FD"
"151",14,14,"🇺🇸","Chock / Bates",68.76,53.46,122.22,3.11,8.86,2020,"USCLA","FD"
"152",15,15,"🇺🇸","Chock / Bates",66.62,55.5,122.12,3.38,9.25,2019,"TORCUP","FD"
"153",16,16,"🇺🇸","Chock / Bates",64.06,55.4,119.46,3.41,9.23,2020,"FINTRO","FD"
"154",17,17,"🇺🇸","Chock / Bates",49.4,38.11,87.51,3.98,9.54,2022,"WC","RD"
"155",18,18,"🇺🇸","Chock / Bates",48.1,37.92,86.02,3.54,9.48,2022,"GPJPN","RD"
"156",19,19,"🇺🇸","Chock / Bates",48.22,37.54,85.76,3.49,9.39,2020,"4CC","RD"
"157",20,20,"🇺🇸","Chock / Bates",47.38,37.77,85.15,3.51,9.43,2021,"WC","RD"
"158",21,21,"🇺🇸","Chock / Bates",46.39,37.75,84.14,3.42,9.43,2022,"OLY","RD"
"159",22,22,"🇺🇸","Chock / Bates",46.35,37.37,83.72,3.45,9.34,2022,"FINTRO","RD"
"160",23,23,"🇺🇸","Chock / Bates",44.8,37.75,82.55,3.38,9.42,2022,"GPUSA","RD"
"161",24,24,"🇺🇸","Chock / Bates",45.27,37.05,82.32,3.4,9.27,2019,"WC","RD"
"162",25,25,"🇺🇸","Chock / Bates",44.72,36.95,81.67,3.16,9.24,2020,"GPF","RD"
"163",26,26,"🇺🇸","Chock / Bates",44.78,36.39,81.17,3.47,9.14,2019,"4CC","RD"
"164",27,27,"🇺🇸","Chock / Bates",44.47,36.22,80.69,3.27,9.06,2020,"GPFRA","RD"
"165",28,28,"🇺🇸","Chock / Bates",44.06,36.28,80.34,3.22,9.08,2020,"GPCHN","RD"
"166",29,29,"🇺🇸","Chock / Bates",45.14,35.04,80.18,2.74,8.68,2020,"USCLA","RD"
"167",30,30,"🇺🇸","Chock / Bates",42.64,36.16,78.8,2.77,9.04,2020,"FINTRO","RD"
"168",31,31,"🇺🇸","Chock / Bates",39.9,35.4,75.3,2.52,8.85,2019,"TORCUP","RD"
"169",1,1,"🇷🇺","Stepanova / Bukin",70.9,56.74,127.64,3.63,9.39,2020,"EC","FD"
"170",2,2,"🇷🇺","Stepanova / Bukin",70.31,56.44,126.75,3.58,9.41,2022,"EC","FD"
"171",3,3,"🇷🇺","Stepanova / Bukin",69.77,55.98,125.75,3.5,9.33,2021,"WC","FD"
"172",4,4,"🇷🇺","Stepanova / Bukin",69.44,55.98,125.42,3.71,9.34,2019,"WC","FD"
"173",5,5,"🇷🇺","Stepanova / Bukin",68.51,56.53,125.04,3.7,9.42,2019,"EC","FD"
"174",6,6,"🇷🇺","Stepanova / Bukin",67.72,57.22,124.94,3.7,9.52,2019,"GPRUS","FD"
"175",7,7,"🇷🇺","Stepanova / Bukin",69.33,55.41,124.74,3.34,9.19,2020,"GPJPN","FD"
"176",8,8,"🇷🇺","Stepanova / Bukin",68.97,55.69,124.66,3.39,9.26,2020,"GPUSA","FD"
"177",9,9,"🇷🇺","Stepanova / Bukin",67.9,55.84,123.74,3.59,9.3,2020,"GPF","FD"
"178",10,10,"🇷🇺","Stepanova / Bukin",67.01,54.9,121.91,3.46,9.12,2019,"GPFIN","FD"
"179",11,11,"🇷🇺","Stepanova / Bukin",67.02,54.6,121.62,3.44,9.13,2019,"FINTRO","FD"
"180",12,12,"🇷🇺","Stepanova / Bukin",65.34,55.64,120.98,3,9.28,2022,"OLY","FD"
"181",13,13,"🇷🇺","Stepanova / Bukin",65.55,55.16,120.71,3.02,9.17,2022,"GPITA","FD"
"182",14,14,"🇷🇺","Stepanova / Bukin",65.33,55.07,120.4,3.19,9.19,2022,"GPFRA","FD"
"183",15,15,"🇷🇺","Stepanova / Bukin",64.67,54.85,119.52,3.27,9.12,2019,"GPF","FD"
"184",16,16,"🇷🇺","Stepanova / Bukin",48.95,37.5,86.45,3.56,9.36,2022,"EC","RD"
"185",17,17,"🇷🇺","Stepanova / Bukin",47.09,37,84.09,3.13,9.27,2022,"OLY","RD"
"186",18,18,"🇷🇺","Stepanova / Bukin",47.49,36.58,84.07,3.18,9.12,2020,"GPJPN","RD"
"187",19,19,"🇷🇺","Stepanova / Bukin",46.67,36.98,83.65,3.2,9.17,2020,"EC","RD"
"188",20,20,"🇷🇺","Stepanova / Bukin",45.68,37.42,83.1,3.47,9.33,2019,"WC","RD"
"189",21,21,"🇷🇺","Stepanova / Bukin",45.62,37.4,83.02,3.16,9.33,2021,"WC","RD"
"190",22,22,"🇷🇺","Stepanova / Bukin",45.68,36.23,81.91,3.18,9.04,2020,"GPUSA","RD"
"191",23,23,"🇷🇺","Stepanova / Bukin",44.84,36.63,81.47,2.98,9.17,2022,"GPITA","RD"
