"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"472",11,11,"🇨🇦","Lajoie / Lagha",59.27,45.93,105.2,2.08,7.66,2020,"GPRUS","FD"
"473",12,12,"🇨🇦","Lajoie / Lagha",55.74,47.2,102.94,2.2,7.81,2020,"FINTRO","FD"
"474",13,13,"🇨🇦","Lajoie / Lagha",53.63,48.36,101.99,3.02,8.04,2019,"BAVOPN","FD"
"475",14,14,"🇨🇦","Lajoie / Lagha",53.79,47.16,100.95,3.11,7.89,2019,"JGPCAN","FD"
"476",15,15,"🇨🇦","Lajoie / Lagha",51.31,47.95,98.26,2.64,7.98,2019,"JGPF","FD"
"477",16,16,"🇨🇦","Lajoie / Lagha",52.23,45.54,97.77,1.75,7.63,2020,"LOMTRO","FD"
"478",17,17,"🇨🇦","Lajoie / Lagha",44.46,45.38,89.84,2.49,7.58,2019,"JGPAUT","FD"
"479",18,18,"🇨🇦","Lajoie / Lagha",43.94,32.49,76.43,2.62,8.08,2020,"4CC","RD"
"480",19,19,"🇨🇦","Lajoie / Lagha",41.25,33.2,74.45,2.4,8.29,2022,"GPJPN","RD"
"481",20,20,"🇨🇦","Lajoie / Lagha",39.67,32.92,72.59,2.16,8.22,2022,"OLY","RD"
"482",21,21,"🇨🇦","Lajoie / Lagha",40.02,31.98,72,2.02,8.01,2021,"WC","RD"
"483",22,22,"🇨🇦","Lajoie / Lagha",39.4,32.53,71.93,2.36,8.13,2022,"FINTRO","RD"
"484",23,23,"🇨🇦","Lajoie / Lagha",39.8,32.07,71.87,2.08,7.98,2022,"GPCAN","RD"
"485",24,24,"🇨🇦","Lajoie / Lagha",41.07,30.2,71.27,1.89,7.56,2022,"ATMCLA","RD"
"486",25,25,"🇨🇦","Lajoie / Lagha",39.75,31,70.75,2.11,7.71,2020,"FINTRO","RD"
"487",26,26,"🇨🇦","Lajoie / Lagha",39.97,30.53,70.5,2.02,7.67,2020,"GPCAN","RD"
"488",27,27,"🇨🇦","Lajoie / Lagha",37.53,32.86,70.39,2.3,8.2,2022,"WC","RD"
"489",28,28,"🇨🇦","Lajoie / Lagha",37.36,32.78,70.14,2.89,8.15,2019,"WJC","RD"
"490",29,29,"🇨🇦","Lajoie / Lagha",37.7,31.24,67.94,2.24,7.8,2020,"LOMTRO","RD"
"491",30,30,"🇨🇦","Lajoie / Lagha",36.27,31.08,67.35,2.89,7.81,2019,"BAVOPN","RD"
"492",31,31,"🇨🇦","Lajoie / Lagha",34.34,31.91,66.25,2.76,8,2019,"JGPF","RD"
"493",32,32,"🇨🇦","Lajoie / Lagha",35.37,30.2,65.57,2.47,7.54,2019,"JGPCAN","RD"
"494",33,33,"🇨🇦","Lajoie / Lagha",34.59,30.11,64.7,1.24,7.53,2020,"GPRUS","RD"
"495",34,34,"🇨🇦","Lajoie / Lagha",34.38,29.57,63.95,2.36,7.33,2019,"JGPAUT","RD"
